employee,companyAlias,numVotes,lastParticipationDate,stillExists,vote_mean,vote_mode,vote_min,vote_max,vote_count,qt_dias_diff_vote_min,qt_dias_diff_vote_max,qt_dias_diff_vote_median,likes_mean,likes_min,likes_max,dislikes_mean,dislikes_min,dislikes_max,qt_dias_diff_comment_min,qt_dias_diff_comment_max,qt_dias_diff_comment_median,commentId_count,companyType,gender
512,56aec740f1ef260003e307d6,4,2017-02-23 11:48:04,1,2.0,1.0,1.0,3.0,3.0,2.0,37.0,31.0,7.5,6.0,9.0,1.0,0.0,2.0,2.0,30.0,16.0,2.0,Product,Male
2,56aec740f1ef260003e307d6,72,2017-03-17 00:00:00,1,2.23943661971831,1.0,1.0,4.0,71.0,21.0,406.0,256.0,5.428571428571429,0.0,12.0,4.785714285714286,0.0,12.0,43.0,399.0,267.0,14.0,Product,Male
487,56aec740f1ef260003e307d6,14,2016-11-19 14:02:14,0,3.1818181818181817,3.0,2.0,4.0,22.0,2.0,66.0,26.5,6.0,6.0,6.0,0.0,0.0,0.0,22.0,22.0,22.0,1.0,Product,Female
3,56aec740f1ef260003e307d6,22,2017-02-16 00:00:00,1,3.4761904761904763,4.0,2.0,4.0,21.0,7.0,378.0,336.0,3.333333333333333,0.0,14.0,0.8888888888888888,0.0,4.0,6.0,376.0,239.0,9.0,Product,Female
4,56aec740f1ef260003e307d6,195,2017-03-20 00:00:00,1,3.860824742268041,4.0,1.0,4.0,194.0,1.0,368.0,105.5,7.5,1.0,29.0,1.0,0.0,4.0,33.0,271.0,107.0,10.0,Product,Female
516,56aec740f1ef260003e307d6,29,2017-03-20 11:28:45,1,2.7857142857142856,3.0,1.0,4.0,28.0,7.0,62.0,39.0,6.2727272727272725,1.0,13.0,2.9090909090909087,0.0,8.0,9.0,62.0,40.0,11.0,Product,Male
475,56aec740f1ef260003e307d6,15,2016-11-06 18:38:30,0,2.7777777777777777,3.0,1.0,4.0,27.0,6.0,111.0,44.0,5.24,1.0,12.0,5.48,0.0,14.0,5.0,104.0,66.0,25.0,Product,Female
5,56aec740f1ef260003e307d6,42,2017-03-14 00:00:00,1,3.024390243902439,3.0,1.0,4.0,41.0,34.0,403.0,169.0,14.0,12.0,14.0,3.0,3.0,3.0,215.0,264.0,264.0,1.0,Product,Female
517,56aec740f1ef260003e307d6,16,2017-03-16 00:00:00,1,3.4,3.0,3.0,4.0,15.0,6.0,58.0,34.0,6.771110578312916,1.0,12.0,1.2067330464720745,0.0,2.0,17.0,139.0,94.0,0.0,Product,Female
6,56aec740f1ef260003e307d6,63,2017-02-15 10:19:59,1,3.370967741935484,4.0,1.0,4.0,62.0,9.0,372.0,117.5,10.290322580645162,0.0,40.0,2.5161290322580645,0.0,12.0,20.0,372.0,112.0,31.0,Product,Female
518,56aec740f1ef260003e307d6,56,2017-03-20 00:00:00,1,3.0727272727272728,3.0,3.0,4.0,55.0,1.0,60.0,32.0,6.771110578312916,1.0,12.0,1.2067330464720745,0.0,2.0,17.0,139.0,94.0,0.0,Product,Female
7,56aec740f1ef260003e307d6,53,2017-03-17 00:00:00,1,3.6538461538461537,4.0,1.0,4.0,52.0,1.0,365.0,110.5,5.0,1.0,19.0,2.1333333333333333,0.0,8.0,72.0,245.0,125.0,15.0,Product,Male
8,56aec740f1ef260003e307d6,29,2017-01-18 00:00:00,1,3.6071428571428568,4.0,2.0,4.0,28.0,1.0,344.0,150.5,6.2,1.0,13.0,0.0,0.0,0.0,46.0,327.0,168.0,5.0,Product,Male
520,56aec740f1ef260003e307d6,22,2017-03-15 00:00:00,1,3.6190476190476186,4.0,2.0,4.0,21.0,6.0,49.0,30.0,11.666666666666664,4.0,23.0,1.6666666666666667,0.0,3.0,13.0,28.0,19.0,3.0,Product,Female
10,56aec740f1ef260003e307d6,56,2017-03-10 00:00:00,1,3.4727272727272727,4.0,2.0,4.0,55.0,4.0,399.0,140.0,2.6666666666666665,0.0,5.0,3.333333333333333,0.0,9.0,215.0,388.0,351.0,3.0,Product,Female
11,56aec740f1ef260003e307d6,11,2016-07-07 07:25:18,1,3.5,3.0,3.0,4.0,10.0,1.0,112.0,71.0,4.625,1.0,17.0,0.25,0.0,1.0,2.0,111.0,87.5,8.0,Product,Male
523,56aec740f1ef260003e307d6,18,2017-03-16 00:00:00,1,2.647058823529412,2.0,1.0,4.0,17.0,4.0,52.0,30.0,5.857142857142858,1.0,14.0,1.7142857142857142,0.0,3.0,6.0,29.0,13.0,7.0,Product,Female
