employee,companyAlias,vote_mean,vote_mode,vote_min,vote_max,vote_count,qt_dias_diff_vote_min,likes_mean,likes_min,likes_max,dislikes_mean,dislikes_min,dislikes_max,qt_dias_diff_comment_max,qt_dias_diff_comment_median,commentId_count,rt_like_dislike,mean_stillExists_liked_comments,mean_stillExists_disliked_comments,numVotes_box-cox,qt_dias_diff_vote_max_box-cox,qt_dias_diff_vote_median_box-cox,qt_dias_diff_comment_min_box-cox,gender_Male,companyType_Service,lastParticipationDate,stillExists
512,56aec740f1ef260003e307d6,2.0,1.0,1.0,3.0,3.0,2.0,7.5,6.0,9.0,1.0,0.0,2.0,30.0,16.0,2.0,2.0,0.0,1.0,1.6557301330071357,7.82205501324027,6.833475073824773,0.7049218821365549,1,0,2017-02-23 11:48:04,1
2,56aec740f1ef260003e307d6,2.23943661971831,1.0,1.0,4.0,71.0,21.0,5.428571428571429,0.0,12.0,4.785714285714286,0.0,12.0,399.0,267.0,14.0,0.0,1.0,0.9791666666666666,4.630097429643682,23.573827136878258,17.893925287332813,4.125844109065901,1,0,2017-03-17 00:00:00,1
487,56aec740f1ef260003e307d6,3.1818181818181817,3.0,2.0,4.0,22.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,22.0,22.0,1.0,2.0,0.0,1.0,2.8408268910805474,10.418956855597957,6.30238176533729,3.3345948800097087,0,0,2016-11-19 14:02:14,0
3,56aec740f1ef260003e307d6,3.4761904761904763,4.0,2.0,4.0,21.0,7.0,3.333333333333333,0.0,14.0,0.8888888888888888,0.0,4.0,376.0,239.0,9.0,0.0,1.0,1.0,3.3144015119585197,22.864651967256137,20.03860019823179,1.8718616632464409,0,0,2017-02-16 00:00:00,1
4,56aec740f1ef260003e307d6,3.860824742268041,4.0,1.0,4.0,194.0,1.0,7.5,1.0,29.0,1.0,0.0,4.0,271.0,107.0,10.0,2.0,1.0,0.9836065573770492,5.798257743591832,22.603556051997245,12.207507566604765,3.8102497085777296,0,0,2017-03-20 00:00:00,1
516,56aec740f1ef260003e307d6,2.7857142857142856,3.0,1.0,4.0,28.0,7.0,6.2727272727272725,1.0,13.0,2.9090909090909087,0.0,8.0,62.0,40.0,11.0,0.0,1.0,1.0,3.612378346708319,10.109786717727918,7.667529170290946,2.318486634207797,1,0,2017-03-20 11:28:45,1
475,56aec740f1ef260003e307d6,2.7777777777777777,3.0,1.0,4.0,27.0,6.0,5.24,1.0,12.0,5.48,0.0,14.0,104.0,66.0,25.0,0.0,1.0,0.9696969696969697,2.9118762698030434,13.298988696980231,8.134474306083861,1.67387509418596,0,0,2016-11-06 18:38:30,0
5,56aec740f1ef260003e307d6,3.024390243902439,3.0,1.0,4.0,41.0,34.0,14.0,12.0,14.0,3.0,3.0,3.0,264.0,264.0,1.0,0.0,1.0,1.0,4.020564562669128,23.499313913013744,15.001660179268256,6.134443935994793,0,0,2017-03-14 00:00:00,1
517,56aec740f1ef260003e307d6,3.4,3.0,3.0,4.0,15.0,6.0,6.771110578312916,1.0,12.0,1.2067330464720745,0.0,2.0,139.0,94.0,0.0,1.0,1.0,0.0,2.9787635541340487,9.78807826840528,7.160728068787697,3.0369589952669456,0,0,2017-03-16 00:00:00,1
6,56aec740f1ef260003e307d6,3.370967741935484,4.0,1.0,4.0,62.0,9.0,10.290322580645162,0.0,40.0,2.5161290322580645,0.0,12.0,372.0,112.0,31.0,0.0,1.0,0.9883720930232558,4.477506253870261,22.70851230181213,12.804810705874258,3.224135998484511,0,0,2017-02-15 10:19:59,1
